stra,perc,circ,samp,stra2,perc2,circ2,samp2,cros1,cros2
Annealing,0.900,0.400,20,Annealing,0.900,0.400,40,49830,46670
Annealing,0.900,0.400,20,Annealing,0.900,0.425,20,327,272
Annealing,0.900,0.400,20,Annealing,0.950,0.400,30,203,129
Annealing,0.900,0.400,20,Mirroring,0.000,0.400,25,683,628
Annealing,0.900,0.400,20,Mirroring,0.000,0.400,40,197323,196103
Annealing,0.900,0.400,20,Mirroring,0.000,0.425,20,945,850
Annealing,0.900,0.400,20,Mirroring,0.000,0.425,25,80973,79178
Annealing,0.900,0.400,20,Mirroring,0.000,0.425,30,773,1009
Annealing,0.900,0.400,25,Annealing,0.900,0.400,20,58824,55132
Annealing,0.900,0.400,25,Annealing,0.900,0.400,30,860,763
Annealing,0.900,0.400,25,Annealing,0.900,0.400,40,166,143
Annealing,0.900,0.400,25,Annealing,0.900,0.425,20,93107,89556
Annealing,0.900,0.400,25,Annealing,0.900,0.425,30,10927,10199
Annealing,0.900,0.400,25,Annealing,0.950,0.400,20,76209,75044
Annealing,0.900,0.400,25,Annealing,0.950,0.400,25,699,686
Annealing,0.900,0.400,25,Annealing,0.950,0.400,30,41,37
Annealing,0.900,0.400,25,Annealing,0.950,0.400,35,176,170
Annealing,0.900,0.400,25,Annealing,0.950,0.425,25,86297,82898
Annealing,0.900,0.400,25,Mirroring,0.000,0.400,40,710,667
Annealing,0.900,0.400,25,Mirroring,0.000,0.425,20,27717,26411
Annealing,0.900,0.400,25,Mirroring,0.000,0.425,25,3702,2991
Annealing,0.900,0.400,25,Mirroring,0.000,0.425,30,1399,1262
Annealing,0.900,0.400,30,Annealing,0.900,0.400,20,21487,19380
Annealing,0.900,0.400,30,Annealing,0.950,0.400,25,577,567
Annealing,0.900,0.400,30,Annealing,0.950,0.400,40,710,615
Annealing,0.900,0.400,30,Annealing,0.950,0.425,20,130,129
Annealing,0.900,0.400,30,Annealing,0.950,0.425,30,238,234
Annealing,0.900,0.400,30,Mirroring,0.000,0.400,20,18,13
Annealing,0.900,0.400,30,Mirroring,0.000,0.400,30,859,755
Annealing,0.900,0.400,30,Mirroring,0.000,0.425,20,779,706
Annealing,0.900,0.400,30,Mirroring,0.000,0.425,30,15369,14363
Annealing,0.900,0.400,35,Annealing,0.900,0.400,20,63178,59938
Annealing,0.900,0.400,35,Annealing,0.900,0.400,25,138645,124876
Annealing,0.900,0.400,35,Annealing,0.900,0.400,30,7362,5966
Annealing,0.900,0.400,35,Annealing,0.900,0.400,40,967,880
Annealing,0.900,0.400,35,Annealing,0.900,0.425,25,76,120
Annealing,0.900,0.400,35,Annealing,0.950,0.400,30,1086,1062
Annealing,0.900,0.400,35,Annealing,0.950,0.425,20,13089,12280
Annealing,0.900,0.400,35,Annealing,0.950,0.425,30,840,739
Annealing,0.900,0.400,35,Mirroring,0.000,0.400,25,987,1180
Annealing,0.900,0.400,35,Mirroring,0.000,0.400,35,4042,3965
Annealing,0.900,0.400,35,Mirroring,0.000,0.425,25,72,70
Annealing,0.900,0.400,40,Annealing,0.900,0.400,30,675,613
