stra,perc,circ,samp,stra2,perc2,circ2,samp2,cros1,cros2
Annealing,0.900,0.425,25,Mirroring,0.000,0.400,35,861,810
Annealing,0.900,0.425,25,Mirroring,0.000,0.400,40,962,1025
Annealing,0.900,0.425,25,Mirroring,0.000,0.425,25,1820,1670
Annealing,0.900,0.425,25,Mirroring,0.000,0.425,30,187840,183240
Annealing,0.900,0.425,30,Annealing,0.900,0.400,40,4864,4560
Annealing,0.900,0.425,30,Annealing,0.900,0.425,20,95846,93572
Annealing,0.900,0.425,30,Annealing,0.900,0.425,25,58020,56310
Annealing,0.900,0.425,30,Annealing,0.900,0.425,35,106808,103162
Annealing,0.900,0.425,30,Annealing,0.950,0.400,20,99121,94028
Annealing,0.900,0.425,30,Annealing,0.950,0.400,30,2571,1784
Annealing,0.900,0.425,30,Annealing,0.950,0.400,35,816,766
Annealing,0.900,0.425,30,Annealing,0.950,0.425,20,1339,1208
Annealing,0.900,0.425,30,Annealing,0.950,0.425,30,217,200
Annealing,0.900,0.425,30,Annealing,0.950,0.425,35,970,1046
Annealing,0.900,0.425,30,Mirroring,0.000,0.400,25,69080,67181
Annealing,0.900,0.425,30,Mirroring,0.000,0.400,30,21,19
Annealing,0.900,0.425,30,Mirroring,0.000,0.400,35,199,157
Annealing,0.900,0.425,30,Mirroring,0.000,0.425,30,45625,43479
Annealing,0.900,0.425,35,Annealing,0.900,0.400,30,64119,59452
Annealing,0.900,0.425,35,Annealing,0.900,0.400,40,427,353
Annealing,0.900,0.425,35,Annealing,0.950,0.400,20,36565,35748
Annealing,0.900,0.425,35,Annealing,0.950,0.400,30,25230,24033
Annealing,0.900,0.425,35,Annealing,0.950,0.425,20,1169,1058
Annealing,0.900,0.425,35,Annealing,0.950,0.425,25,602,558
Annealing,0.900,0.425,35,Annealing,0.950,0.425,35,3928,3382
Annealing,0.900,0.425,35,Mirroring,0.000,0.400,25,1208,1000
Annealing,0.900,0.425,35,Mirroring,0.000,0.400,30,132513,130804
Annealing,0.900,0.425,35,Mirroring,0.000,0.400,40,26,25
Annealing,0.900,0.425,35,Mirroring,0.000,0.425,20,19214,18371
Annealing,0.900,0.425,35,Mirroring,0.000,0.425,30,1669,1653
Annealing,0.900,0.425,35,Mirroring,0.000,0.425,35,65,56
Annealing,0.950,0.400,20,Annealing,0.900,0.400,25,64343,60454
Annealing,0.950,0.400,20,Annealing,0.900,0.425,25,688,612
Annealing,0.950,0.400,20,Annealing,0.950,0.400,35,105764,105679
Annealing,0.950,0.400,20,Annealing,0.950,0.400,40,85,74
Annealing,0.950,0.400,20,Annealing,0.950,0.425,20,539,538
Annealing,0.950,0.400,20,Annealing,0.950,0.425,30,522,338
Annealing,0.950,0.400,20,Annealing,0.950,0.425,35,757,646
