stra,perc,circ,samp,stra2,perc2,circ2,samp2,cros1,cros2
Annealing,0.900,0.400,20,Annealing,0.900,0.400,25,17896,16580
Annealing,0.900,0.400,20,Annealing,0.900,0.400,40,126186,112835
Annealing,0.900,0.400,20,Annealing,0.900,0.425,20,29,25
Annealing,0.900,0.400,20,Annealing,0.900,0.425,25,913,1011
Annealing,0.900,0.400,20,Annealing,0.900,0.425,30,37734,32494
Annealing,0.900,0.400,20,Annealing,0.950,0.400,25,77713,71551
Annealing,0.900,0.400,20,Annealing,0.950,0.400,30,501,384
Annealing,0.900,0.400,20,Annealing,0.950,0.400,35,578,542
Annealing,0.900,0.400,20,Annealing,0.950,0.400,40,54112,50186
Annealing,0.900,0.400,20,Annealing,0.950,0.425,20,5117,4816
Annealing,0.900,0.400,20,Annealing,0.950,0.425,30,35518,34665
Annealing,0.900,0.400,20,Mirroring,0.000,0.400,20,65809,64236
Annealing,0.900,0.400,20,Mirroring,0.000,0.400,25,43510,42700
Annealing,0.900,0.400,20,Mirroring,0.000,0.400,30,13931,13607
Annealing,0.900,0.400,20,Mirroring,0.000,0.400,40,44232,43695
Annealing,0.900,0.400,20,Mirroring,0.000,0.425,25,39915,39342
Annealing,0.900,0.400,25,Annealing,0.900,0.400,30,13513,13212
Annealing,0.900,0.400,25,Annealing,0.900,0.400,35,654,629
Annealing,0.900,0.400,25,Annealing,0.900,0.400,40,851,788
Annealing,0.900,0.400,25,Annealing,0.900,0.425,20,6133,6111
Annealing,0.900,0.400,25,Annealing,0.950,0.400,25,59994,57129
Annealing,0.900,0.400,25,Annealing,0.950,0.400,30,159039,154841
Annealing,0.900,0.400,25,Annealing,0.950,0.425,20,919,794
Annealing,0.900,0.400,25,Annealing,0.950,0.425,25,74449,72346
Annealing,0.900,0.400,25,Mirroring,0.000,0.400,20,1459,1421
Annealing,0.900,0.400,25,Mirroring,0.000,0.425,20,48486,47245
Annealing,0.900,0.400,25,Mirroring,0.000,0.425,30,888,1060
Annealing,0.900,0.400,30,Annealing,0.900,0.400,20,62303,62262
Annealing,0.900,0.400,30,Annealing,0.900,0.400,35,13660,13200
Annealing,0.900,0.400,30,Annealing,0.900,0.400,40,73610,73082
Annealing,0.900,0.400,30,Annealing,0.900,0.425,20,4528,4315
Annealing,0.900,0.400,30,Annealing,0.950,0.400,35,156,114
Annealing,0.900,0.400,30,Annealing,0.950,0.425,20,28574,28269
Annealing,0.900,0.400,35,Annealing,0.900,0.400,20,858,740
Annealing,0.900,0.400,35,Annealing,0.900,0.400,40,1168,1069
Annealing,0.900,0.400,35,Annealing,0.900,0.425,20,19,16
Annealing,0.900,0.400,35,Annealing,0.900,0.425,30,73070,72073
Annealing,0.900,0.400,35,Annealing,0.950,0.400,25,832,726
Annealing,0.900,0.400,35,Annealing,0.950,0.400,30,7080,6843
Annealing,0.900,0.400,35,Annealing,0.950,0.400,35,2321,2307
Annealing,0.900,0.400,35,Annealing,0.950,0.425,25,150680,147835
Annealing,0.900,0.400,35,Annealing,0.950,0.425,30,1292,1260
Annealing,0.900,0.400,35,Mirroring,0.000,0.400,20,26341,25567
Annealing,0.900,0.400,35,Mirroring,0.000,0.400,30,3734,3634
Annealing,0.900,0.400,35,Mirroring,0.000,0.425,20,751,625
Annealing,0.900,0.400,35,Mirroring,0.000,0.425,25,11974,11456
Annealing,0.900,0.400,40,Annealing,0.900,0.425,20,137256,137240
Annealing,0.900,0.400,40,Annealing,0.900,0.425,25,151301,148571
Annealing,0.900,0.400,40,Annealing,0.900,0.425,30,585,497
Annealing,0.900,0.400,40,Annealing,0.950,0.400,20,389,300
Annealing,0.900,0.400,40,Annealing,0.950,0.400,25,10498,10422
Annealing,0.900,0.400,40,Annealing,0.950,0.400,30,8343,8102
Annealing,0.900,0.400,40,Annealing,0.950,0.400,35,1776,1694
Annealing,0.900,0.400,40,Annealing,0.950,0.400,40,20572,19716
Annealing,0.900,0.400,40,Annealing,0.950,0.425,20,1800,1581
Annealing,0.900,0.400,40,Mirroring,0.000,0.400,30,1249,1247
Annealing,0.900,0.400,40,Mirroring,0.000,0.425,20,385,298
Annealing,0.900,0.425,20,Annealing,0.900,0.425,25,421,353
Annealing,0.900,0.425,20,Annealing,0.900,0.425,30,82918,81880
Annealing,0.900,0.425,20,Annealing,0.950,0.425,25,1287,1040
Annealing,0.900,0.425,20,Mirroring,0.000,0.400,20,89241,87282
Annealing,0.900,0.425,20,Mirroring,0.000,0.425,25,30845,30771
Annealing,0.900,0.425,25,Annealing,0.900,0.400,25,1493,1255
Annealing,0.900,0.425,25,Annealing,0.900,0.400,30,16633,16350
Annealing,0.900,0.425,25,Annealing,0.900,0.400,35,635,560
Annealing,0.900,0.425,25,Annealing,0.950,0.400,20,1053,1040
